Speak only english,% Hispanic,% Hispanic Population Foreign Born,Hispanic Median Household Income
33.73111346,37.3579351,28.58059195,102.361
39.0820393,39.59889613,30.03905077,80.942
43.41962149,25.8451586,31.81267662,109.828
15.45757833,41.21494152,49.74061642,42.792
7.514306002,72.02847666,51.7118471,41.838
39.17525773,12.35888059,41.62110003,87.957
10.15791453,62.2437214,52.75695389,45.189
12.11800409,56.75532884,49.15417456,50.924
10.90023929,50.16276665,52.34386929,45.163
44.41558442,14.6207645,39.13402062,62.992
17.7830941,8.540413288,34.60949464,68.242
35.66505858,15.43074448,41.8957346,58.929
29.94549535,30.95816212,39.69834087,62.612
23.01953819,23.15600583,38.69874072,76.593
40.47550432,24.63918193,39.40110323,86.449
41.41052632,26.81942876,31.48816687,59.338
21.27147481,34.67604028,46.95107632,45.762
30.89071383,17.11569744,39.85743986,50.443
56.52173913,9.568520207,34.36011432,86.235
10.31679093,59.31692806,51.43945405,45.085
12.18540648,53.0353313,50.23837902,46.182
29.85099615,20.48283297,45.47049442,49.035
58.54332886,34.44920301,19.89112844,98.65
29.57260075,67.04475881,31.79851966,65.1
14.81764761,74.63148317,39.77601282,66.461
66.40625,29.85781991,12.94903926,91.553
52.70196257,28.7505731,20.60598224,104.643
43.87879866,52.49365282,27.62428646,74.355
51.88275085,25.97275471,21.52428811,96.054
30.27740832,64.5288903,32.06694411,88.343
43.92924149,65.34204417,21.58320939,64.943
45.10941004,52.39360707,21.63166167,78.293
46.29104612,42.28320466,22.30206428,66.706
13.21516715,64.16186884,40.97261616,42.043
14.40597733,66.04244496,42.47063355,49.632
15.28704729,75.50314119,42.15812215,49.751
52.93025723,31.99093584,24.84155586,99.489
48.91851852,36.58683386,23.59997258,89.54
49.98520856,42.10302585,21.65213401,87.198
56.18358232,26.87915205,21.73007498,104.063
18.02782361,82.42937919,36.18417315,72.26
37.91553596,45.52552444,24.56726752,102.606
19.03940674,83.10949544,34.95605686,71.477
28.81699577,26.58934982,29.60536827,73.768
63.58545907,35.96062,16.45074554,79.631
28.09411311,63.41401916,29.16721891,80.564
32.85575049,32.7892734,28.37972618,58.122
34.51910408,23.22501213,21.22088353,56.289
31.29574376,68.87423687,28.05039474,70.214
25.31352304,70.60825043,32.55541787,58.717
27.53695912,71.14479067,33.0825708,61.399
23.0062742,70.75709724,34.76298531,62.415
46.97518097,17.60779516,27.9985373,91.513
18.02282287,74.60330624,38.92429688,57.829
23.54163337,68.02157847,35.09281585,65.283
24.33728856,73.68645392,33.88993868,54.496
22.22106197,33.17704097,35.07667163,58.265
58.51572558,33.95477402,19.30371525,93.429
40.09048199,24.66405375,29.65785633,65.724
29.80634857,27.55017587,35.96507698,57.676
36.75788844,20.24876896,29.29434917,58.902
63.21029254,26.80337294,15.97311597,131.736
45.59650471,50.16295138,23.12147312,58.051
46.13980457,22.08370837,23.03851641,109.167
34.82890925,60.19056421,25.80338537,87.622
41.37322835,51.41479774,25.34505853,84.006
38.47264696,43.39106655,29.9719888,78.412
29.08732002,33.66747006,29.87146808,65.417
29.91468183,40.49108804,25.79351821,71.568
57.00972447,15.0038542,22.3853211,43.594
25.13487003,45.62341236,32.27003828,95.852
39.28790669,42.34417344,32.16,33.75
22.32216054,62.0158974,35.60811684,56.15
16.17916549,72.10506272,39.24604288,54.885
20.31332655,49.08896034,32.66450836,91.483
42.61277243,49.38719144,25.9466387,111.95
24.20795026,49.21308048,27.87790521,111.25
26.93949891,51.05314812,27.11275416,49.699
40.60312332,23.64912281,27.29970326,99.722
45.75858924,22.83977693,26.04938272,72.848
51.94852941,22.64700755,22.61079952,56.92
27.75727019,44.03363196,28.13307763,63.186
17.9521206,64.17378577,38.15166464,43.672
29.69358705,46.16679537,29.48181849,60.781
32.38333855,34.00913764,21.83039463,61.711
37.92250618,26.25968992,35.27675277,78.456
40.9052808,11.27266357,48.17404817,94.779
41.02345416,18.22768959,31.15780966,71.063
46.26436782,10.14974685,48.76347495,101.967
78.55058366,14.1196623,16.33448873,62.096
47.59677838,15.94184891,36.11327618,73.854
47.19339623,21.24006286,26.42802742,86.662
35.9285873,25.36364093,30.28443213,56.729
33.39550064,26.66932771,34.20996365,53.91
36.06990748,14.38858722,35.15487623,77.984
18.18980346,56.57638954,44.29062281,46.222
36.71219746,37.71983864,35.67778305,62.804
28.77244755,53.24716489,40.6508367,53.761
28.91862035,38.23511095,39.02491992,54.909
48.1154426,26.03962439,27.42223103,82.188
42.64057332,10.11056382,44.95983415,86.989
55.90551181,16.65226968,24.47153417,72.816
32.76789408,38.32372569,30.87629509,49.158
31.6754464,30.19278904,36.50170864,80.952
27.11187215,37.88194789,32.14192082,70.901
42.96506138,36.07291056,26.1744158,44.286
36.14834092,17.35970284,36.80314596,84.487
41.87786089,26.84175443,30.35661071,90.438
30.38514504,48.61044942,39.91342698,61.928
61.94251734,17.88424883,19.1744986,86.466
41.95882026,15.18977415,35.98347961,85.26
33.86579028,28.46367056,38.9441469,63.42
46.90879957,27.60508177,32.53365973,58.438
48.38478105,25.76316493,32.0190911,73.438
21.40706269,61.19871422,40.22498863,67.547
